# eta=0.05
# residual=0.9975
# global_perf=0.9999999999999998
# thetas=[1.4696702887560742, 0.5745464671322527]
bitstring,probability
00,1.7954081744593687e-05
01,7.525075255964437e-06
10,0.0017436899302806495
11,0.0007308309127187952
