# eta=0.05
# herald_failure_prob=0.9991287037037037
# residual=0.9994686503718898
# global_perf=0.9999999999999992
# n=2 i=0 j=1 thetas=[1.6612470810666293, 1.2467258944387942]
bitstring,probability
00,0.00023700831962553926
01,2.866649440207654e-05
10,2.866649440207649e-05
11,0.0002370083196255393
