n,generator_scope,simulation_backend,eta,n_draws,tvd_to_lossless_mean,tvd_to_lossless_std,tvd_to_uniform_mean,tvd_to_uniform_std,tvd_to_product_marginals_mean,tvd_to_product_marginals_std,alpha_mean,alpha_std,herald_failure_prob_mean,herald_failure_prob_std,herald_success_rate_mean
2,weight1,merlin-dual-rail,0.99,5,0.009950005634891568,7.429254399028266e-09,0.44683904943085506,0.0969398531369217,0.009950128170021338,3.692690509849695e-08,2.088278378913171,0.4475951859638052,,,
2,weight1,merlin-dual-rail,0.95,5,0.048749999291612764,1.1055649975911944e-08,0.41541907929859007,0.09238365202348839,0.048750121826742536,2.7631628442781503e-08,2.088278361505096,0.4475951736460162,,,
2,weight1,merlin-dual-rail,0.9,5,0.09499997109487594,1.2162620305014818e-08,0.38303974812333763,0.08970642079540642,0.09500009363000572,2.841823164175598e-08,2.0882783730229137,0.44759517726041803,,,
2,weight1,merlin-dual-rail,0.8,5,0.17999996501894203,1.5448417931618413e-08,0.33434890204152906,0.08100833209215855,0.1800000875540718,2.2184687992852097e-08,2.0882783592152485,0.44759518049838065,,,
2,weight1,merlin-dual-rail,0.6,5,0.3199999146736445,2.4597643441259092e-08,0.32721032764075064,0.01073864118396178,0.3200000372087743,1.325098022439341e-08,2.088278374648437,0.447595185763159,,,
2,weight1,merlin-dual-rail,0.35,5,0.438749891604175,3.3367451805054866e-08,0.43875001413930476,4.0327030162087746e-09,0.43875001413930476,4.0327030162087746e-09,2.088278385065178,0.44759518054880953,,,
2,weight1,merlin-dual-rail,0.05,5,0.4987498778068783,3.722374602682305e-08,0.4987500003420081,8.66589374900293e-11,0.4987500003420081,8.66589374900293e-11,2.0882783592152485,0.44759518049838065,,,
3,weight1,merlin-dual-rail,0.99,5,0.014850495097925886,7.1179282832520286e-09,0.4734646227909252,0.09150695737091893,0.014850619132630541,7.01534609386907e-08,2.5563162209714845,0.6540656753512422,,,
3,weight1,merlin-dual-rail,0.95,5,0.07131246935459785,1.1794308530390828e-08,0.4474576790817082,0.08085732692965486,0.0713125933893025,6.245902367153101e-08,2.5563162352142283,0.6540656891028122,,,
3,weight1,merlin-dual-rail,0.9,5,0.13549998123198748,2.0779172948492028e-08,0.4190573027182836,0.0693217609914067,0.13550010526669212,5.345727185965466e-08,2.5563162336094143,0.6540656876779598,,,
3,weight1,merlin-dual-rail,0.8,5,0.2439999249530956,3.786385032440514e-08,0.376176057808334,0.054498776916609336,0.24400004898780026,3.5885445480064194e-08,2.5563162433286886,0.6540656978280794,,,
3,weight1,merlin-dual-rail,0.6,5,0.3919998996105278,5.791040400035841e-08,0.39335479549772573,0.002709536389774545,0.39200002364523245,1.5725345535112986e-08,2.556316233472999,0.654065668520876,,,
