# residual=0.0
bitstring,probability
000,0.10053199316835568
001,0.0872488983739841
010,0.3880816939348407
011,0.33680522197765883
100,0.009619797381493664
101,0.008348752448493679
110,0.03713511634916157
111,0.032228526366011846
