# eta=0.99
# residual=0.019899999999999946
# global_perf=1.0000000000000007
# thetas=[1.4696702887560742, 0.5745464671322527]
bitstring,probability
00,0.007038718207150504
01,0.002950130503348294
10,0.6835962002672251
11,0.2865149510222762
