generator_scope,init_scheme,n_min,n_max,verdict,exp_r2,poly_r2,exp_aic,poly_aic
weight1,small_angle,2,8,exp,0.8378153569333227,0.7140903541781198,-110.16636083513924,-106.19777818211257
weight1,uniform,2,8,exp,0.9828909326719336,0.972762929393769,-74.58902581713714,-71.33423330226114
mixed,small_angle,2,7,inconclusive,0.570069467671411,0.570069685942485,-70.64292244574403,-70.64292549187981
mixed,uniform,2,7,inconclusive,0.8396612092877208,0.8137712909005508,-69.16078869413336,-68.26266958253055
