draw_idx,adj_mean,rand_mean,mean_diff,p_value,min_effect,passed
0,0.040865954011678696,0.019954431802034378,0.020911522209644318,,,
1,0.019285866990685463,0.0011131616774946451,0.018172705313190818,,,
2,-0.005267969332635403,0.013431297615170479,-0.01869926694780588,,,
3,0.010011882521212101,-0.004257692489773035,0.014269575010985136,,,
4,0.1091030016541481,0.01541116926819086,0.09369183238595724,,,
5,0.01621987484395504,-0.0023425621911883354,0.018562437035143375,,,
6,0.0207148939371109,0.015275710262358189,0.005439183674752712,,,
7,0.028432030230760574,0.010680275969207287,0.017751754261553288,,,
8,0.012081381864845753,0.0006604646914638579,0.011420917173381895,,,
9,0.02889956347644329,0.003232724266126752,0.02566683921031654,,,
10,-0.009114814922213554,-0.001986611168831587,-0.0071282037533819675,,,
11,-0.007893566973507404,-0.008848500438034534,0.0009549334645271301,,,
12,0.0005682419869117439,0.009461592882871628,-0.008893350895959884,,,
13,-0.014742433093488216,-0.003190253395587206,-0.01155217969790101,,,
14,0.0012419514823704958,0.005779859144240618,-0.004537907661870122,,,
15,0.02417314238846302,0.027616165578365326,-0.0034430231899023056,,,
16,0.01412423700094223,0.01346555631607771,0.000658680684864521,,,
17,0.009309064596891403,0.011557257734239101,-0.002248193137347698,,,
18,0.00453349482268095,-0.009398926049470901,0.013932420872151852,,,
19,0.018948735669255257,0.012852379120886326,0.006096356548368931,,,
pooled,0.01607472635805607,0.00652337446808815,0.009551351889967918,0.00835102517157793,0.1,False
trained_checkpoint,0.06677722930908203,0.0266184713691473,0.04015875793993473,0.01866750977933407,0.1,False
