n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms
2,mixed,small_angle,2,200,-0.00730577679536554,0.012627149169948173,0.11237058854499327,-0.01621798343382914,0.09838899350675842,0.11260783074250155
3,mixed,small_angle,3,300,0.010866428335242163,0.01868116992761807,0.13667907640753968,0.012533451997699029,0.11970797979200998,0.13711035406701794
4,mixed,small_angle,3,300,-3.153711525581822e-05,0.013063282633357869,0.11429471830910591,-0.004883408069335688,0.09770390579620328,0.11429472266009269
2,mixed,uniform,2,200,0.007328514684231318,0.04849489434334633,0.2202155633540607,0.0021827044420037623,0.16074043518543438,0.22033747178095542
3,mixed,uniform,3,300,0.00011993412550286668,0.04732385669216265,0.21754047138903293,-0.009943440245422791,0.16331741659449941,0.21754050444999226
4,mixed,uniform,3,300,-0.004820237104052758,0.030089269472454584,0.17346258810606563,-0.0006903289357089073,0.13713871408710843,0.17352954837201034
5,mixed,small_angle,3,300,0.00575719973030997,0.012686650146788818,0.11263503072662971,0.007226421268051585,0.09603290602999136,0.11278207080703696
5,mixed,uniform,3,300,-0.014416302757817856,0.013312939107355872,0.11538171045428244,-0.010167705645528656,0.08800585979841083,0.11627884112150816
