n,generator_scope,simulation_backend,eta,n_draws,tvd_to_lossless_mean,tvd_to_lossless_std,tvd_to_uniform_mean,tvd_to_uniform_std,tvd_to_product_marginals_mean,tvd_to_product_marginals_std,alpha_mean,alpha_std,herald_failure_prob_mean,herald_failure_prob_std,herald_success_rate_mean
2,weight1,merlin-dual-rail,0.99,5,0.009950005634891568,7.429254399028266e-09,0.44683904943085506,0.0969398531369217,0.009950128170021338,3.692690509849695e-08,2.005990870532376,0.4299580866750196,,,
2,weight1,merlin-dual-rail,0.95,5,0.048749999291612764,1.1055649975911944e-08,0.41541907929859007,0.09238365202348839,0.048750121826742536,2.7631628442781503e-08,1.7009148778355538,0.3645689413454529,,,
2,weight1,merlin-dual-rail,0.9,5,0.09499997109487594,1.2162620305014818e-08,0.38303974812333763,0.08970642079540642,0.09500009363000572,2.841823164175598e-08,1.3701188259270358,0.2936671302895032,,,
2,weight1,merlin-dual-rail,0.8,5,0.17999996501894203,1.5448417931618413e-08,0.33434890204152906,0.08100833209215855,0.1800000875540718,2.2184687992852097e-08,0.8553583618510725,0.18333493979094517,,,
2,weight1,merlin-dual-rail,0.6,5,0.3199999146736445,2.4597643441259092e-08,0.32721032764075064,0.01073864118396178,0.3200000372087743,1.325098022439341e-08,0.2706407709632422,0.05800833411554631,,,
2,weight1,merlin-dual-rail,0.35,5,0.438749891604175,3.3367451805054866e-08,0.43875001413930476,4.0327030162087746e-09,0.43875001413930476,4.0327030162087746e-09,0.03133721340806499,0.0067167234984233815,,,
2,weight1,merlin-dual-rail,0.05,5,0.4987498778068783,3.722374602682305e-08,0.4987500003420081,8.66589374900293e-11,0.4987500003420081,8.66589374900293e-11,1.3051732816331062e-05,2.7974691740561702e-06,,,
3,weight1,merlin-dual-rail,0.99,5,0.014850495097925886,7.1179282832520286e-09,0.4734646227909252,0.09150695737091893,0.014850619132630541,7.01534609386907e-08,2.406719737455541,0.6157893728508327,,,
3,weight1,merlin-dual-rail,0.95,5,0.07131246935459785,1.1794308530390828e-08,0.4474576790817082,0.08085732692965486,0.0713125933893025,6.245902367153101e-08,1.8791264798219227,0.4807980772388781,,,
3,weight1,merlin-dual-rail,0.9,5,0.13549998123198748,2.0779172948492028e-08,0.4190573027182836,0.0693217609914067,0.13550010526669212,5.345727185965466e-08,1.3585304457232987,0.3475970565497574,,,
3,weight1,merlin-dual-rail,0.8,5,0.2439999249530956,3.786385032440514e-08,0.376176057808334,0.054498776916609336,0.24400004898780026,3.5885445480064194e-08,0.6701226981286746,0.17145930325755993,,,
3,weight1,merlin-dual-rail,0.6,5,0.3919998996105278,5.791040400035841e-08,0.39335479549772573,0.002709536389774545,0.39200002364523245,1.5725345535112986e-08,0.11926743523690841,0.03051606652969186,,,
3,weight1,merlin-dual-rail,0.35,5,0.4785623812869744,7.054171032068602e-08,0.47856250532167904,3.061689679127899e-09,0.47856250532167904,3.061689695654783e-09,0.004699185860100645,0.0012023455320506818,,,
3,weight1,merlin-dual-rail,0.05,5,0.4999373759772553,7.359097324606467e-08,0.4999375000119599,8.761095083909832e-12,0.4999375000119599,8.761111453448727e-12,3.9942425377885976e-08,1.0219770864102836e-08,,,
4,weight1,merlin-dual-rail,0.99,5,0.01970198480628369,8.447717653656991e-09,0.6769204344322247,0.0734446490662247,0.019702170388893603,3.7382446312579033e-08,4.776623628941883,1.2191862565319687,,,
4,weight1,merlin-dual-rail,0.95,5,0.09274684651231269,7.759271232089455e-09,0.6195974597820907,0.06946541910168863,0.0927470320949226,3.5399103280114664e-08,3.4342214102392163,0.8765512765646395,,,
4,weight1,merlin-dual-rail,0.9,5,0.17194994873699443,1.6402646183332497e-08,0.559177006465734,0.06619548636367671,0.17195013431960432,2.7544103834422723e-08,2.2283299842032265,0.5687593390127637,,,
4,weight1,merlin-dual-rail,0.8,5,0.2951998969195927,2.4295524828309868e-08,0.47834720744832,0.05442301485441282,0.2952000825022026,1.8702998406078462e-08,0.868479020365657,0.22167073591476175,,,
4,weight1,merlin-dual-rail,0.6,5,0.435199837093856,3.6977477285612506e-08,0.43720871410655776,0.002845122887728699,0.4352000226764659,5.941595708368343e-09,0.08694597536475396,0.022192105060318185,,,
4,weight1,merlin-dual-rail,0.35,5,0.4924966922846904,4.2265277936150455e-08,0.49249687786730034,6.378479765271291e-10,0.49249687786730034,6.378479551481606e-10,0.0011656919758017657,0.00029753142046332683,,,
4,weight1,merlin-dual-rail,0.05,5,0.499996689418649,4.289504524599052e-08,0.4999968750012589,2.853835897191383e-13,0.4999968750012589,2.853556827649784e-13,2.0220852931161808e-10,5.161174012226093e-11,,,
5,weight1,merlin-dual-rail,0.99,5,0.024504975341997692,3.05017142634463e-09,0.6588046154305957,0.0790053348559746,0.02450518368935805,3.375978928023835e-08,5.3881317773795505,1.655933614447081,,,
5,weight1,merlin-dual-rail,0.95,5,0.11310948254171578,1.0059823143190458e-08,0.59188772906299,0.07239674796316643,0.11310969088907612,2.3571372694122787e-08,3.5671579558674567,1.0962940355374449,,,
5,weight1,merlin-dual-rail,0.9,5,0.20475492131925677,1.4638578912593455e-08,0.5291616454735305,0.061130471350149505,0.2047551296666171,1.885743607903039e-08,2.0773580430432284,0.6384340624268473,,,
5,weight1,merlin-dual-rail,0.8,5,0.33615986453094565,2.133264718484016e-08,0.45970259179205186,0.041376284861205016,0.33616007287830596,1.1776023307298272e-08,0.6397144022195906,0.19660331768515277,,,
5,weight1,merlin-dual-rail,0.6,5,0.4611198062540082,3.062001165769057e-08,0.4614904112750479,0.0007407939559813813,0.4611200146013686,2.47301981703812e-09,0.03602457116833493,0.011071425152261607,,,
5,weight1,merlin-dual-rail,0.35,5,0.4973736989511556,3.2890892571954655e-08,0.49737390729851594,1.8903946876918962e-10,0.49737390729851594,1.8903949305712218e-10,0.00016434887518103526,5.050930846169118e-05,,,
5,weight1,merlin-dual-rail,0.05,5,0.49999963540270914,3.3077797624938955e-08,0.4999998437500695,1.1226463016386011e-14,0.4999998437500695,1.126920121776699e-14,5.818168594665537e-13,1.7880967578562628e-13,,,
6,weight1,merlin-dual-rail,0.99,5,0.029259903201281766,2.4234731576976914e-09,0.7729130340271444,0.050179488718694286,0.029260165756270395,5.307199295473679e-08,10.427412225638644,4.673416630894515,,,
6,weight1,merlin-dual-rail,0.95,5,0.13245400313968655,1.320364325558223e-08,0.6854799144375894,0.047470988483978356,0.1324542656946752,4.0656479257363563e-08,6.35678334579545,2.84901903598851,,,
6,weight1,merlin-dual-rail,0.9,5,0.23427939227046174,2.3345393836812493e-08,0.6028896334565891,0.04282230194968766,0.23427965482545035,3.046899423452869e-08,3.322494406198145,1.4890943493746476,,,
6,weight1,merlin-dual-rail,0.8,5,0.3689278068234228,3.83828717004155e-08,0.5012399931803103,0.033673640183461084,0.36892806937841144,1.539444539300044e-08,0.8084143923113324,0.3623197397060633,,,
6,weight1,merlin-dual-rail,0.6,5,0.4766717489547541,5.123750311149995e-08,0.4784678517731094,0.002279976583523452,0.4766720115097427,2.494803718229176e-09,0.02560762055287937,0.011476967916176698,,,
6,weight1,merlin-dual-rail,0.35,5,0.4990806051416736,5.3636243351386244e-08,0.49908086769666227,9.522223622230098e-11,0.49908086769666216,9.522230889583758e-11,3.9753072376748885e-05,1.7816756612932527e-05,,,
6,weight1,merlin-dual-rail,0.05,5,0.4999997296325155,5.373096282301112e-08,0.4999999921875041,9.155133597044475e-16,0.4999999921875041,9.895942896571411e-16,2.872064869703665e-15,1.287218295353168e-15,,,
