n,generator_scope,simulation_backend,eta,n_draws,tvd_to_lossless_mean,tvd_to_lossless_std,tvd_to_uniform_mean,tvd_to_uniform_std,tvd_to_product_marginals_mean,tvd_to_product_marginals_std,alpha_mean,alpha_std,herald_failure_prob_mean,herald_failure_prob_std,herald_success_rate_mean
2,mixed,merlin-dual-rail,0.99,5,0.019652819912561296,3.3449480218833475e-08,0.14812085859627297,0.1644162725609336,0.14812085859616855,0.16441627255378216,1.118510361504984,0.33558465774111973,0.9259331126003643,8.931526037441954e-08,0.07406688739963574
2,mixed,merlin-dual-rail,0.95,5,0.0916285956666866,1.2511291919202024e-07,0.15709321463946835,0.11943367823933713,0.1570932146411625,0.11943367823045527,0.8084241691407315,0.24255009616993925,0.9261283020391602,8.644221147583988e-08,0.07387169796083981
2,mixed,merlin-dual-rail,0.9,5,0.16803203665993682,2.1591220893837494e-07,0.19868879826506275,0.061308063649860904,0.19868879826152616,0.06130806364278772,0.5342193711086786,0.16028087943390631,0.9267995896649154,8.600118360445031e-08,0.07320041033508462
2,mixed,merlin-dual-rail,0.8,5,0.2837823394111117,3.435620360712355e-07,0.2837851076294232,2.9241772810322106e-07,0.2837851076294232,2.9241772810004977e-07,0.2266239046961565,0.06799352922904356,0.9298366398709732,8.946175443314878e-08,0.0701633601290268
2,mixed,merlin-dual-rail,0.6,5,0.41509215837058894,5.001372281789567e-07,0.41509492658890057,1.3515104491329701e-07,0.41509492658890057,1.3515104490909433e-07,0.034946347104226484,0.010484882400485375,0.9434662989232947,8.510927996308007e-08,0.0565337010767053
2,mixed,merlin-dual-rail,0.35,5,0.4805221470731308,5.667197151920288e-07,0.4805249152914423,6.929189939749124e-08,0.4805249152914423,6.929189939360397e-08,0.0018386248007138944,0.0005516372790978751,0.9714616498191078,9.913046002741418e-08,0.028538350180892236
2,mixed,merlin-dual-rail,0.05,5,0.49973168912392085,6.077011560508983e-07,0.4997344573422325,3.224237621115361e-08,0.4997344573422325,3.224237620211351e-08,3.4181287151140864e-07,1.0250255151578477e-07,0.9991282704637852,1.057671504487183e-07,0.0008717295362148381
3,mixed,merlin-dual-rail,0.99,5,0.02445651243746818,2.0830709650793373e-08,0.5074693979749665,0.12828857233715069,0.2663708643859449,0.1528212167071558,2.2396328838061046,0.7288497025725336,0.9259330439020939,7.693816811740892e-08,0.07406695609790614
3,mixed,merlin-dual-rail,0.95,5,0.11204680290640164,1.2302265383375524e-07,0.4324171886450707,0.1250334233828951,0.2357268375526261,0.09813375782562972,1.4905747946535928,0.4850815922657109,0.9261283004394911,7.576507888103854e-08,0.07387169956050887
3,mixed,merlin-dual-rail,0.9,5,0.20122839456617053,2.2065984069433998e-07,0.37323570790343336,0.11057083017095179,0.22484502235496978,0.03056185575905024,0.8840396263108549,0.2876953107586856,0.9267995723272022,7.542358826786132e-08,0.07320042767279777
3,mixed,merlin-dual-rail,0.8,5,0.3270251747201101,3.567867267537602e-07,0.3538702983521318,0.03424200930206526,0.327028190948505,1.92805575429034e-07,0.29631423556627595,0.09643030971922514,0.9298366007131065,7.243496362198929e-08,0.07016339928689352
3,mixed,merlin-dual-rail,0.6,5,0.4490539935515006,4.822882917010756e-07,0.4490570097798955,6.716395537420252e-08,0.44905700977989554,6.716395534501676e-08,0.025702228634582665,0.008364351601917541,0.9434662413203551,7.021079248949169e-08,0.05653375867964494
3,mixed,merlin-dual-rail,0.35,5,0.49318071636341615,5.270683034843041e-07,0.49318373259181103,2.238514706537758e-08,0.49318373259181103,2.238514704730256e-08,0.0004601458726979196,0.00014974753017760808,0.971461599372792,9.16550645185247e-08,0.028538400627208027
3,mixed,merlin-dual-rail,0.05,5,0.49998370616558363,5.477245721174819e-07,0.49998672239397857,1.9047822890707203e-09,0.49998672239397857,1.9047822788044497e-09,1.7460355955425374e-09,5.682965307939134e-10,0.9991283015637054,1.250025037103662e-07,0.0008716984362946434
