alpha,measured_success_prob,closed_form_success_prob
0.2617993877991494,0.2671289695994761,0.2671289695994764
0.5235987755982988,0.17453927881631504,0.17453927881631506
0.7853981633974483,0.1334465457314814,0.13344654573148143
1.0471975511965976,0.11111111111111105,0.11111111111111113
1.2566370614359172,0.1001418394602831,0.10014183946028304
1.308996938995747,0.09804939566108084,0.09804939566108067
1.832595714594046,0.08668324785787129,0.08668324785787133
2.356194490192345,0.08762833479412135,0.08762833479412115
2.8797932657906435,0.099696667373944,0.09969666737394389
3.141592653589793,0.11111111111111105,0.11111111111111109
3.4033920413889427,0.099696667373944,0.09969666737394389
3.9269908169872414,0.08762833479412102,0.08762833479412115
4.45058959258554,0.08668324785787118,0.08668324785787133
4.974188368183839,0.09804939566108062,0.09804939566108067
5.497787143782137,0.13344654573148107,0.1334465457314813
6.021385919380436,0.26712896959947596,0.2671289695994759
