n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,mixed,data_dependent,2,2,-0.010246223726364977,3.76158192263132e-35,6.1331736667334966e-18,-0.010246223726364977,0.010246223726364977,0.010246223726364976,0.1,1.2000000000000002
3,mixed,data_dependent,3,3,0.08990125810801684,0.004114277383901859,0.06414263312261088,0.1352569489521757,0.0904413404948843,0.11043782682263412,0.1,0.4000000000000001
4,mixed,data_dependent,3,3,0.02261712486906986,0.0010259162976560242,0.032029928155648806,0.002059740943705299,0.02399056110081474,0.039210338368842496,0.1,0.4000000000000001
5,mixed,data_dependent,3,3,0.01627434493631517,0.00046477081836185504,0.02155854397592414,0.002562588846454064,0.01657604288336063,0.027011573842855255,0.1,0.17142857142857146
