n,generator_scope,init_scheme,n_tracked_params,n_samples,mean,var,std,median,abs_mean,rms,sigma,bin_spacing
2,weight1,data_dependent,2,2,0.0001771491272381672,2.3392993275748046e-09,4.836630363770633e-05,0.0001771491272381672,0.0001771491272381672,0.0001836330923576117,0.1,1.2000000000000002
3,weight1,data_dependent,3,3,-0.0004355270323298267,4.487999711597906e-05,0.006699253474528267,0.00011974404396229016,0.005500429561311218,0.006713395632008372,0.1,0.4000000000000001
4,weight1,data_dependent,3,3,0.001412806172280649,1.2488430655781293e-05,0.003533897374823057,0.00279309185615019,0.0037042160760604073,0.003805844444563597,0.1,0.4000000000000001
5,weight1,data_dependent,3,3,-0.0007270473512764091,2.882545606086109e-06,0.0016978061155756593,-0.0009336917349692456,0.0016923399525654486,0.0018469281136752863,0.1,0.17142857142857146
6,weight1,data_dependent,3,3,7.243108218006307e-05,5.998898866682813e-07,0.0007745255881301025,-0.00023540589727962403,0.0006853777874664311,0.0007779049738458138,0.1,0.17142857142857146
