sigma,ring_mass,gap_mass
0.02,0.4424699544906616,0.06609543412923813
0.05,0.6247062683105469,0.05588105320930481
0.1,0.7145346403121948,0.04766696318984032
0.2,0.6067171692848206,0.0691082626581192
0.4,0.546745777130127,0.06956612318754196
