sigma,ring_mass,gap_mass
0.02,0.45883241295814514,0.00997358001768589
0.05,0.4843270778656006,0.034126877784729004
0.1,0.6160621643066406,0.03460097312927246
0.2,0.5440326929092407,0.04782913625240326
0.4,0.3276825547218323,0.02243395335972309
