epoch,loss
0,0.04026161879301071
1,0.0384693443775177
2,0.03786202892661095
3,0.03522465005517006
4,0.03456084802746773
5,0.034431714564561844
6,0.033663053065538406
7,0.03377038985490799
8,0.03408005088567734
9,0.0332760289311409
10,0.03296349570155144
11,0.032428544014692307
12,0.03194325044751167
13,0.030137980356812477
14,0.02967376448214054
15,0.030622858554124832
16,0.030079929158091545
17,0.029189489781856537
18,0.028782930225133896
19,0.030537797138094902
20,0.02869868278503418
21,0.029418902471661568
22,0.030827868729829788
23,0.028126634657382965
24,0.028385838493704796
25,0.028039755299687386
26,0.02874618023633957
27,0.02747870609164238
28,0.027557002380490303
29,0.028271133080124855
30,0.028262155130505562
31,0.02802826464176178
32,0.027561267837882042
33,0.026646045967936516
34,0.02711658924818039
35,0.026525484398007393
36,0.026351021602749825
37,0.027013562619686127
38,0.025945747271180153
39,0.025249404832720757
40,0.025516698136925697
41,0.02481718547642231
42,0.024973157793283463
43,0.024538937956094742
44,0.02305549755692482
45,0.022585809230804443
46,0.023492664098739624
47,0.023478761315345764
48,0.02328822761774063
49,0.022857975214719772
50,0.02204117178916931
51,0.02184501849114895
52,0.021943937987089157
53,0.02065693587064743
54,0.02187182568013668
55,0.02128700725734234
56,0.020913032814860344
57,0.01863718591630459
58,0.01813272386789322
59,0.017716722562909126
60,0.01922665908932686
61,0.017949771136045456
62,0.01926414668560028
63,0.01781940832734108
64,0.015955394133925438
65,0.017491724342107773
66,0.015497115440666676
67,0.016083957627415657
68,0.015859123319387436
69,0.01526595838367939
70,0.015179600566625595
71,0.014854787848889828
72,0.015061110258102417
73,0.014225774444639683
74,0.014874408021569252
75,0.014556383714079857
76,0.013738682493567467
77,0.013052941299974918
78,0.013897641561925411
79,0.01366619672626257
80,0.013300997205078602
81,0.012760674580931664
82,0.01207108236849308
83,0.011758019216358662
84,0.011847998946905136
85,0.012384097091853619
86,0.010908891446888447
87,0.01065492257475853
88,0.01087418757379055
89,0.010430123656988144
90,0.010653404518961906
91,0.010514810681343079
92,0.009670669212937355
93,0.01020694151520729
94,0.00903842318803072
95,0.009050104767084122
96,0.008549800142645836
97,0.0082256980240345
98,0.0077850730158388615
99,0.008007331751286983
100,0.007039934396743774
101,0.007264507934451103
102,0.007436648942530155
103,0.007004362531006336
104,0.00683475099503994
105,0.006827772594988346
106,0.0068321614526212215
107,0.006447017192840576
108,0.00645403191447258
109,0.006122833117842674
110,0.006258653476834297
111,0.0058992113918066025
112,0.005752474535256624
113,0.005821408703923225
114,0.0056587690487504005
115,0.005544519983232021
116,0.005728540476411581
117,0.005641886964440346
118,0.005587914027273655
119,0.005261286627501249
120,0.005351320840418339
121,0.005447866395115852
122,0.0050929831340909
123,0.005319066345691681
124,0.0052636428736150265
125,0.005080751143395901
126,0.005072775296866894
127,0.0049333940260112286
128,0.004943102598190308
129,0.005028541199862957
130,0.005095234606415033
131,0.004780549090355635
132,0.004818221554160118
133,0.004768244922161102
134,0.004817137494683266
135,0.004696328192949295
136,0.0046409922651946545
137,0.004754450637847185
138,0.004597615450620651
139,0.004591781180351973
140,0.004643269814550877
141,0.004640975501388311
142,0.004328594543039799
143,0.0044486792758107185
144,0.004353358410298824
145,0.00439104437828064
146,0.004345404449850321
147,0.004281974397599697
148,0.0043950327672064304
149,0.0043776254169642925
150,0.00438577588647604
151,0.004257918335497379
152,0.004156806040555239
153,0.004204683471471071
154,0.004103984218090773
155,0.0041963174007833
156,0.00412158714607358
157,0.004157495219260454
158,0.00423881970345974
159,0.003934790845960379
160,0.004069030750542879
161,0.004044827073812485
162,0.003999319858849049
163,0.004031841643154621
164,0.004108496475964785
165,0.004045977257192135
166,0.004014208912849426
167,0.0041439044289290905
168,0.003946077544242144
169,0.0038951230235397816
170,0.0039049391634762287
171,0.003828631713986397
172,0.003923805430531502
173,0.0037265592254698277
174,0.0037301015108823776
175,0.003884760197252035
176,0.003743312321603298
177,0.003869699314236641
178,0.0037504741922020912
179,0.0037712957710027695
180,0.0038664559833705425
181,0.003758070059120655
182,0.003735156264156103
183,0.0036686621606349945
184,0.0037331758067011833
185,0.00378252100199461
186,0.003612259402871132
187,0.0036699152551591396
188,0.003661463502794504
189,0.0036152200773358345
190,0.003614131361246109
191,0.00349877355620265
192,0.0035329055972397327
193,0.003681918140500784
194,0.0035089263692498207
195,0.003466978669166565
196,0.003512980882078409
197,0.0034903576597571373
198,0.0034519359469413757
199,0.0035702292807400227
200,0.003574831411242485
201,0.003491363488137722
202,0.003444239031523466
203,0.0034558717161417007
204,0.0034191752783954144
205,0.003449916373938322
206,0.003485217224806547
